ID,Betrieb,Feldname,Fläche (ha),Erntejahr,Aussaattermin,Erntedatum,Kultur,realer Ertrag (dt / ha),reale N-Menge (kg N / ha),Unnamed: 11,Unnamed: 12
,Farm 10,Field 13,28.6,2022.0,2021-10-11 00:00:00,2022-07-28 00:00:00.000,Winterweichweizen,31.76223776223776,137.0,,
,Farm 10,Field 13,28.6,2023.0,2022-09-23 00:00:00,2023-07-08 00:00:00.000,Wintergerste,54.828671328671305,159.0,,
,Farm 10,Field 14,43.6826,2023.0,2022-09-27 00:00:00,2023-08-21 00:00:00.000,Winterweichweizen,66.96029998214392,168.0,,
,Farm 10,Field 14,43.6826,2022.0,2021-08-14 00:00:00,2022-07-20 00:00:00.000,Winterraps ,30.872704463562147,143.0,,
,Farm 10,Field 15,18.078,2023.0,2022-08-21 00:00:00,2023-08-05 00:00:00.000,Winterraps,27.79997787365859,167.0,,
,Farm 10,Field 15,18.078,2022.0,2021-09-22 00:00:00,2022-07-25 00:00:00.000,Winterroggen ,38.81126230777741,119.0,,
,Farm 10,Field 16,20.7986,2022.0,2021-09-22 00:00:00,2022-07-25 00:00:00.000,Winterroggen ,38.81126614291347,70.0,,
,Farm 10,Field 16,20.7986,2023.0,2022-08-21 00:00:00,2023-08-05 00:00:00.000,Winterraps,27.799996153587262,162.0,,
,Farm 10,Field 17,16.8097,2023.0,2022-09-29 00:00:00,2023-08-14 00:00:00.000,Winterweichweizen,60.951117509533184,168.0,,
,Farm 10,Field 18,28.3656,2023.0,2022-09-27 00:00:00,2023-08-13 00:00:00.000,Winterweichweizen,80.50000705079393,189.0,,
,Farm 10,Field 19,18.1037,2023.0,2023-04-11 00:00:00,2023-08-23 00:00:00.000,Erbsen,10.0,0.0,,
,Farm 10,Field 20,10.5186,2023.0,2023-04-12 00:00:00,2023-08-23 00:00:00.000,Erbsen,11.999980986062786,0.0,,
,Farm 10,Field 20,10.5186,2022.0,2021-09-22 00:00:00,2022-07-31 00:00:00.000,Winterroggen ,50.40024337839637,76.0,,
,Farm 10,Field 21,4.1865,2023.0,2022-09-27 00:00:00,2023-08-12 00:00:00.000,Winterweichweizen,55.08181058163143,189.0,,
,Farm 10,Field 22,20.2491,2023.0,2022-09-26 00:00:00,2023-08-11 00:00:00.000,Winterroggen,60.8920890311174,99.0,,
,Farm 10,Field 23,19.0008,2023.0,2022-09-26 00:00:00,2023-08-10 00:00:00.000,Winterroggen,56.56603932466001,80.0,,
,Farm 10,Field 24,32.7151,2022.0,2021-09-20 00:00:00,2022-06-29 00:00:00.000,Wintergerste,77.28541254649994,156.0,,
,Farm 10,Field 24,30.4598,2023.0,2022-08-21 00:00:00,2023-08-04 00:00:00.000,Winterraps,25.6000039396188,150.0,,
,Farm 10,Field 25,15.3609,2022.0,2022-04-01 00:00:00,2022-07-01 00:00:00.000,Blaue Lupine,10.049997070484151,0.0,,
,Farm 10,Field 25,15.3609,2023.0,2022-09-26 00:00:00,2023-08-11 00:00:00.000,Winterroggen,53.785910981778414,80.0,,
,Farm 10,Field 26,21.7445,2022.0,2021-10-11 00:00:00,2022-07-28 00:00:00.000,Winterweichweizen,50.93701855641656,179.0,,
,Farm 10,Field 26,21.7445,2023.0,2022-09-25 00:00:00,2023-07-12 00:00:00.000,Wintergerste,50.67000850789856,163.0,,
,Farm 10,Field 27,29.9687,2022.0,2021-10-11 00:00:00,2022-08-02 00:00:00.000,Winterweichweizen,88.8527029867829,137.0,,
,Farm 10,Field 28,35.5654,2022.0,2021-09-20 00:00:00,2022-06-27 00:00:00.000,Wintergerste,65.72120656593205,155.0,,
,Farm 10,Field 28,34.1172,2023.0,2022-08-22 00:00:00,2023-08-07 00:00:00.000,Winterraps,25.999994137854223,168.0,,
,Farm 10,Field 29,22.1187,2022.0,2021-10-11 00:00:00,2022-07-31 00:00:00.000,Winterweichweizen,74.82361079086927,139.0,,
,Farm 10,Field 29,22.1187,2023.0,2022-09-26 00:00:00,2023-08-22 00:00:00.000,Wintertriticale,73.4939214329956,137.0,,
,Farm 10,Field 30,3.171,2023.0,2022-09-27 00:00:00,2023-08-22 00:00:00.000,Wintertriticale,60.48565121412804,137.0,,
,Farm 10,Field 31,21.9735,2022.0,2021-09-20 00:00:00,2022-07-06 00:00:00.000,Wintergerste,64.17684938676133,159.0,,
,Farm 10,Field 31,21.9735,2023.0,2022-08-22 00:00:00,2023-07-18 00:00:00.000,Winterraps,28.50001137734089,147.0,,
,Farm 10,Field 32,17.5984,2022.0,2021-09-21 00:00:00,2022-08-01 00:00:00.000,Wintertriticale,49.199984089462674,120.0,,
,Farm 10,Field 33,18.3706,2022.0,2021-09-23 00:00:00,2022-07-30 00:00:00.000,Winterroggen ,26.202791416720196,159.0,,
,Farm 10,Field 34,49.0466,2023.0,2022-08-22 00:00:00,2023-08-07 00:00:00.000,Winterraps,29.50000611663194,142.0,,
,Farm 10,Field 34,49.0466,2022.0,2021-09-20 00:00:00,2022-06-30 00:00:00.000,Wintergerste,89.21719344460169,147.0,,
,Farm 10,Field 35,5.1195,2023.0,2022-09-25 00:00:00,2023-08-18 00:00:00.000,Wintertriticale,67.8999902334212,137.0,,
,Farm 10,Field 36,20.7437,2022.0,2021-08-14 00:00:00,2022-07-19 00:00:00.000,Winterraps,33.03171565342731,117.0,,
,Farm 10,Field 36,20.7437,2023.0,2022-09-27 00:00:00,2023-08-11 00:00:00.000,Winterweichweizen,75.5120831867025,168.0,,
,Farm 10,Field 37,45.2295,2022.0,2021-09-22 00:00:00,2022-07-29 00:00:00.000,Winterroggen,49.18909119048408,79.0,,
,Farm 10,Field 38,11.9,2022.0,2021-10-11 00:00:00,2022-07-29 00:00:00.000,Winterweichweizen,40.25714285714286,141.0,,
,Farm 10,Field 38,11.9,2023.0,2022-08-22 00:00:00,2023-08-04 00:00:00.000,Winterraps,22.0,156.0,,
,Farm 10,Field 39,11.7318,2023.0,2022-08-22 00:00:00,2023-08-04 00:00:00.000,Winterraps,22.00003409536474,155.0,,
,Farm 10,Field 40,49.4,2022.0,2021-08-14 00:00:00,2022-07-21 00:00:00.000,Winterraps,39.87449392712551,139.0,,
,Farm 10,Field 40,49.4,2023.0,2022-09-28 00:00:00,2023-08-21 00:00:00.000,Winterweichweizen,60.82591093117409,193.0,,
,Farm 10,Field 41,18.7752,2022.0,2021-10-11 00:00:00,2022-08-03 00:00:00.000,Winterweichweizen,70.89138864033404,175.0,,
,Farm 10,Field 42,15.6217,2022.0,2021-10-11 00:00:00,2022-08-03 00:00:00.000,Winterweichweizen,85.30441629272102,137.0,,
,Farm 10,Field 43,15.4599,2023.0,2023-04-11 00:00:00,2023-08-23 00:00:00.000,Erbsen,13.000019405041431,0.0,,
,Farm 10,Field 44,6.331,2023.0,2022-09-30 00:00:00,2023-08-21 00:00:00.000,Winterweichweizen,71.4894961301532,139.0,,
,Farm 10,Field 45,8.3107,2023.0,2022-09-25 00:00:00,2023-08-12 00:00:00.000,Winterroggen,28.6618455725751,99.0,,
,Farm 10,Field 46,1.5312,2023.0,2023-04-11 00:00:00,2023-08-23 00:00:00.000,Erbsen,5.000000000000001,0.0,,
,Farm 10,Field 47,37.5633,2023.0,2022-09-26 00:00:00,2023-08-21 00:00:00.000,Winterweichweizen,59.700026355511895,193.0,,
